coffee_id,Moisture,Color,Category One Defects,Category Two Defects,Quakers
526,12%,Bluish-Green,0,0,0
527,28%,,0,0,0
528,8%,,0,1,0
529,0%,,0,0,0
530,0%,,0,1,0
531,6%,,0,2,0
532,7%,,0,0,0
533,0%,,0,0,0
534,0%,Green,0,0,0
535,0%,Green,0,1,0
536,11%,Green,0,1,0
537,9%,Green,31,0,0
538,0%,Bluish-Green,1,20,0
539,0%,Green,0,9,0
540,11%,Blue-Green,0,1,0
541,0%,Bluish-Green,0,0,0
542,13%,Blue-Green,0,3,0
543,12%,Bluish-Green,2,8,0
544,11%,Green,0,16,0
545,12%,Green,0,0,0
546,12%,Green,0,4,0
547,10%,Green,0,1,0
548,10%,Green,0,2,0
549,10%,Green,0,4,0
550,11%,Green,0,2,0
551,0%,Bluish-Green,0,0,0
552,11%,Green,0,2,0
553,11%,Green,3,5,0
554,10%,Green,0,4,0
555,0%,None,0,17,0
556,14%,Green,1,4,0
557,10%,Green,0,0,0
558,15%,,0,0,0
559,0%,,0,0,0
560,10%,Green,0,3,0
561,11%,Green,1,2,1
562,11%,Bluish-Green,0,2,2
563,0%,Green,0,4,0
564,11%,Bluish-Green,0,0,0
565,11%,Green,11,0,0
566,11%,Green,0,2,0
567,12%,Green,2,6,0
568,0%,,0,1,0
569,0%,,0,9,0
570,10%,Green,0,4,0
571,0%,Green,4,4,0
572,11%,Green,0,3,0
573,11%,Green,0,5,0
574,12%,Green,2,10,0
575,12%,Blue-Green,0,7,0
576,11%,Green,0,10,0
577,11%,,0,2,0
578,0%,,1,3,0
579,10%,Green,0,3,1
580,11%,Green,0,8,0
581,11%,Green,0,4,0
582,10%,Green,0,1,0
583,10%,Green,0,1,0
584,12%,Blue-Green,0,15,0
585,12%,Green,0,0,0
586,0%,Green,0,0,0
587,0%,,0,4,0
588,9%,Bluish-Green,0,1,0
589,9%,Green,0,6,1
590,11%,Bluish-Green,0,1,2
591,10%,Green,0,0,0
592,11%,Green,0,2,0
593,0%,Blue-Green,0,2,0
594,12%,Bluish-Green,0,0,0
595,13%,Green,0,2,0
596,12%,Green,0,0,0
597,10%,Blue-Green,6,0,0
598,10%,Green,0,0,0
599,10%,Green,0,2,0
600,12%,Green,0,6,0
601,12%,,0,0,0
602,12%,,1,4,0
603,0%,Blue-Green,0,0,0
604,11%,Green,0,3,0
605,12%,Green,0,0,0
606,0%,Green,0,4,0
607,0%,,0,2,0
608,0%,Green,0,4,0
609,11%,Bluish-Green,0,3,2
610,13%,Bluish-Green,0,0,0
611,0%,Green,0,7,0
612,11%,Green,0,3,2
613,0%,Green,1,9,0
614,0%,Green,0,0,0
615,12%,,0,9,0
616,12%,Green,0,0,0
617,12%,Green,0,4,0
618,8%,Green,0,0,0
619,11%,Green,0,0,0
620,12%,Green,0,0,0
621,11%,Green,0,0,0
622,11%,Bluish-Green,0,0,0
623,11%,Bluish-Green,0,3,0
624,0%,None,0,17,0
625,11%,Green,0,0,0
626,12%,Bluish-Green,0,0,0
627,11%,,0,2,0
628,12%,,0,0,0
629,11%,Green,0,0,0
630,3%,,2,0,0
631,0%,,0,1,0
632,8%,,0,3,0
633,21%,,0,2,0
634,10%,Green,0,2,1
635,11%,Green,0,0,5
636,11%,Green,0,7,0
637,11%,Blue-Green,0,0,0
638,0%,Green,1,2,9
639,13%,Blue-Green,0,6,0
640,12%,Green,0,0,0
641,12%,Blue-Green,0,1,0
642,12%,,0,1,0
643,12%,Green,0,0,0
644,11%,Green,0,3,0
645,0%,Green,0,11,0
646,0%,Blue-Green,0,4,0
647,11%,Blue-Green,0,3,0
648,11%,,0,3,0
649,11%,Green,0,0,0
650,10%,Green,0,6,0
651,12%,Green,0,0,0
652,11%,Green,2,2,0
653,0%,,0,4,0
654,11%,Green,0,4,0
655,11%,Green,0,5,0
656,10%,Green,0,4,0
657,10%,Green,0,2,2
658,12%,Green,0,0,0
659,11%,,0,0,0
660,12%,Green,0,1,0
661,12%,Bluish-Green,0,3,0
662,0%,Green,0,1,0
663,11%,Bluish-Green,0,0,0
664,12%,Green,0,4,0
665,11%,Green,0,1,0
666,11%,Green,0,0,0
667,13%,None,0,10,0
668,12%,Green,0,5,0
669,11%,,0,2,0
670,11%,Green,0,5,0
671,0%,Blue-Green,0,4,0
672,11%,Green,1,3,0
673,12%,Green,2,3,0
674,1%,,1,14,0
675,12%,Green,0,6,1
676,10%,Green,0,2,1
677,12%,Green,0,0,0
678,12%,Green,0,0,0
679,11%,Green,0,3,2
680,11%,Green,0,1,0
681,10%,Green,0,0,0
682,11%,Green,0,0,1
683,13%,Green,0,7,0
684,0%,Green,0,0,0
685,10%,Green,0,0,0
686,11%,Green,0,0,0
687,12%,Blue-Green,0,1,0
688,0%,Green,0,3,0
689,0%,Green,0,0,0
690,12%,Green,0,0,0
691,9%,None,0,2,0
692,11%,Green,0,9,0
693,12%,Green,0,5,0
694,13%,Green,0,2,0
695,14%,Green,0,9,0
696,13%,Green,0,1,0
697,11%,Green,0,0,0
698,14%,Green,0,6,0
699,11%,Green,0,0,0
700,13%,,0,4,0
701,12%,Bluish-Green,0,0,0
702,0%,,0,2,0
703,11%,Blue-Green,0,2,0
704,0%,Green,0,2,0
705,2%,,0,1,0
706,10%,Green,0,8,1
707,11%,Green,0,11,3
708,11%,Green,0,14,4
709,11%,Bluish-Green,0,3,2
710,10%,Bluish-Green,6,3,1
711,0%,Green,0,0,2
712,12%,Green,0,2,6
713,7%,Green,0,0,0
714,11%,Green,0,10,0
715,10%,Green,0,6,0
716,12%,Green,0,0,0
717,11%,Blue-Green,0,0,0
718,12%,Green,0,3,0
719,11%,Green,0,0,0
720,10%,Green,0,2,0
721,11%,Green,0,0,0
722,11%,Green,0,0,0
723,12%,Green,2,1,0
724,0%,Green,0,1,0
725,12%,Green,0,3,0
726,0%,Green,0,14,0
727,11%,Green,0,3,0
728,15%,None,1,8,0
729,13%,Green,0,9,0
730,10%,Green,2,5,0
731,12%,Green,0,2,0
732,11%,Green,0,0,0
733,11%,Green,0,2,0
734,0%,Green,0,0,0
735,9%,Green,2,10,6
736,10%,Blue-Green,0,0,0
737,11%,Green,0,2,2
738,0%,Green,0,9,0
739,12%,Green,0,0,0
740,11%,Green,0,2,0
741,13%,Blue-Green,0,0,0
742,11%,Green,0,0,0
743,11%,Green,0,0,0
744,12%,Blue-Green,0,4,0
745,0%,Bluish-Green,0,1,0
746,16%,None,3,8,0
747,11%,Green,0,2,0
748,13%,Green,0,3,0
749,12%,Green,0,13,0
750,0%,Green,2,5,0
751,11%,Green,0,0,0
752,10%,Green,0,3,0
753,12%,Green,0,1,0
754,11%,Green,0,0,0
755,12%,Green,0,1,0
756,22%,,0,2,0
757,11%,Green,0,5,1
758,11%,Bluish-Green,0,2,1
759,10%,Green,0,1,0
760,13%,Green,1,6,0
761,12%,Green,0,1,0
762,0%,Green,0,1,0
763,12%,Bluish-Green,0,0,0
764,11%,Green,0,2,0
765,9%,Blue-Green,0,4,0
766,12%,Green,0,1,0
767,12%,Green,0,1,0
768,12%,Green,0,0,0
769,10%,None,1,1,0
770,11%,Green,0,0,0
771,0%,Green,0,0,0
772,0%,Bluish-Green,0,1,0
773,15%,None,1,9,0
774,12%,None,0,2,0
775,12%,Green,0,4,0
776,10%,Green,0,1,0
777,8%,,0,0,0
778,15%,,0,3,0
779,0%,Green,0,6,7
780,11%,Green,0,3,1
781,0%,Green,0,1,0
782,0%,Blue-Green,0,0,0
783,12%,Green,0,5,0
784,12%,Green,0,3,0
785,11%,Green,1,0,0
786,11%,Green,0,2,0
787,11%,Bluish-Green,0,0,0
788,13%,Green,0,7,0
789,13%,Green,3,13,0
790,11%,Green,0,11,0
791,12%,Green,0,2,0
792,11%,Green,0,1,0
793,10%,Green,0,2,0
794,8%,,1,5,0
795,12%,Green,0,1,0
796,10%,Green,0,7,1
797,11%,Green,0,3,2
798,13%,Green,0,20,0
799,12%,Blue-Green,0,0,0
800,12%,Green,0,3,0
801,13%,Bluish-Green,0,1,0
802,9%,Green,0,0,0
803,11%,Green,0,0,0
804,10%,Green,0,4,0
805,11%,Green,0,5,0
806,11%,Green,0,1,0
807,12%,Bluish-Green,0,0,0
808,11%,Blue-Green,0,0,0
809,12%,Green,0,1,0
810,12%,Green,0,1,0
811,11%,Blue-Green,0,1,0
812,11%,Green,0,3,0
813,12%,Green,0,2,0
814,0%,Green,0,10,0
815,7%,,0,2,0
816,10%,Green,0,1,0
817,11%,Green,0,0,2
818,12%,Green,0,1,0
819,11%,Green,0,4,0
820,11%,Green,0,2,0
821,11%,Green,0,7,0
822,12%,Green,0,4,0
823,12%,Green,3,4,0
824,0%,,1,3,0
825,11%,Green,0,0,0
826,11%,Green,0,0,0
827,12%,Green,0,6,0
828,13%,None,2,7,0
829,14%,None,2,8,0
830,12%,Green,0,4,0
831,12%,Green,0,0,0
832,12%,Green,0,3,0
833,9%,,0,1,0
834,10%,Green,1,1,0
835,0%,Green,1,4,0
836,11%,Green,0,3,1
837,11%,Green,0,0,1
838,10%,Green,2,6,0
839,0%,Green,0,1,0
840,0%,Green,0,0,0
841,0%,Green,0,2,0
842,11%,Green,0,7,0
843,12%,Green,0,1,0
844,9%,Green,0,0,0
845,0%,Green,0,0,0
846,11%,None,2,6,0
847,13%,Green,0,0,0
848,11%,Green,0,0,0
849,10%,Green,0,4,0
850,11%,Green,0,0,0
851,0%,Bluish-Green,2,0,0
852,0%,Bluish-Green,1,1,0
853,12%,Bluish-Green,0,0,0
854,11%,Green,0,1,0
855,12%,Green,0,2,0
856,12%,Green,0,10,0
857,2%,,0,2,0
858,5%,,0,0,0
859,2%,,3,12,0
860,11%,Green,0,1,1
861,12%,Bluish-Green,0,0,0
862,12%,Bluish-Green,0,4,0
863,10%,Bluish-Green,0,1,0
864,13%,None,2,9,0
865,13%,Green,0,23,0
866,11%,Green,0,1,0
867,12%,Green,10,14,0
868,12%,,0,1,0
869,0%,Green,0,1,0
870,8%,,0,0,0
871,11%,Green,0,5,0
872,10%,Green,0,1,0
873,12%,Green,0,3,1
874,11%,Blue-Green,0,2,0
875,0%,Green,0,1,0
876,10%,Green,0,1,0
877,0%,,0,1,1
878,0%,Green,0,0,0
879,12%,Green,0,0,0
880,12%,Green,0,7,0
881,10%,Green,0,2,0
882,11%,Bluish-Green,0,0,0
883,10%,Green,0,5,0
884,11%,Green,0,3,0
885,0%,Green,0,4,0
886,11%,Green,0,0,0
887,11%,Green,0,0,0
888,12%,Green,0,6,0
889,11%,Green,0,4,0
890,13%,Green,1,13,0
891,11%,Green,0,4,0
892,11%,Green,0,2,0
893,11%,Green,0,2,0
894,11%,Green,0,4,0
895,10%,Green,1,1,0
896,11%,Blue-Green,0,3,1
897,12%,Green,0,0,0
898,10%,Blue-Green,0,0,0
899,12%,Green,0,1,0
900,12%,Green,0,5,0
901,13%,Green,0,0,0
902,0%,,0,0,0
903,12%,Blue-Green,0,3,0
904,12%,Green,0,1,0
905,12%,Green,0,9,0
906,11%,,0,0,0
907,11%,,0,2,0
908,1%,,0,0,0
909,20%,,0,0,0
910,0%,,0,1,0
911,10%,Green,0,0,0
912,11%,Green,0,3,0
913,10%,Green,0,5,0
914,12%,Green,0,0,0
915,12%,Green,0,2,0
916,0%,Green,0,4,0
917,12%,Green,1,2,0
918,12%,Green,0,0,0
919,12%,Green,0,0,0
920,11%,Blue-Green,0,0,0
921,0%,Green,1,1,0
922,11%,Bluish-Green,0,0,0
923,11%,Green,0,0,0
924,13%,Green,0,2,0
925,12%,Green,0,5,0
926,12%,Green,0,10,0
927,11%,Green,0,6,0
928,13%,Green,0,5,0
929,11%,Green,0,3,0
930,12%,Green,0,0,0
931,12%,Blue-Green,0,2,0
932,11%,Green,0,1,0
933,6%,,1,0,0
934,0%,,0,17,0
935,12%,Green,1,17,5
936,10%,Green,0,0,0
937,11%,Green,0,2,0
938,12%,Green,0,1,0
939,12%,Green,0,0,0
940,12%,Bluish-Green,0,0,0
941,0%,Green,0,0,0
942,10%,Green,0,6,0
943,0%,Green,1,1,0
944,10%,Bluish-Green,1,5,0
945,12%,Green,0,4,0
946,13%,None,1,8,0
947,13%,,0,1,0
948,11%,Green,0,0,0
949,16%,,0,2,0
950,1%,,0,10,0
951,0%,,0,0,0
952,11%,Bluish-Green,0,3,2
953,12%,Green,0,0,2
954,11%,Green,0,14,0
955,9%,Green,0,4,0
956,12%,Green,0,6,0
957,14%,Green,0,3,0
958,13%,Green,0,1,0
959,12%,Green,0,3,0
960,13%,Green,4,13,0
961,12%,None,0,4,0
962,11%,Green,0,0,0
963,12%,Green,0,0,0
964,0%,Green,0,1,0
965,10%,Green,0,4,0
966,12%,Green,0,1,0
967,9%,Bluish-Green,0,2,0
968,13%,Green,0,5,0
969,11%,Green,0,0,0
970,11%,Green,0,4,0
971,12%,Green,0,1,0
972,9%,Green,0,7,0
973,12%,Green,0,2,0
974,12%,Green,0,10,0
975,11%,Bluish-Green,0,0,0
976,13%,Green,0,1,0
977,12%,Blue-Green,0,0,0
978,0%,None,0,4,0
979,12%,Bluish-Green,0,2,0
980,12%,Green,0,12,0
981,11%,Green,0,3,0
982,11%,Green,0,3,0
983,13%,Green,3,7,0
984,12%,Green,0,4,0
985,12%,Green,0,1,0
986,4%,,3,0,0
987,11%,,0,1,0
988,11%,Green,5,8,0
989,11%,,0,1,0
990,0%,,0,0,0
991,13%,Green,0,2,0
992,13%,Green,0,0,0
993,0%,Green,0,0,0
994,13%,None,5,16,0
995,12%,Green,0,2,0
996,11%,Green,0,5,0
997,10%,Green,0,1,0
998,6%,Blue-Green,0,0,0
999,11%,Green,0,9,6
1000,0%,Green,0,6,2
1001,11%,Bluish-Green,0,3,2
1002,9%,Green,0,8,0
1003,0%,Green,0,4,4
1004,11%,Green,0,1,0
1005,12%,Bluish-Green,0,0,0
1006,12%,Green,0,1,0
1007,12%,Green,0,0,0
1008,12%,Green,0,5,0
1009,12%,Green,0,3,0
1010,11%,Green,0,0,0
1011,0%,Green,0,3,0
1012,12%,Green,0,12,0
1013,0%,Green,0,8,0
1014,0%,Blue-Green,0,0,0
1015,10%,Green,0,2,0
1016,11%,Green,0,3,0
1017,11%,Green,0,11,0
1018,0%,,0,5,0
1019,10%,Bluish-Green,2,5,0
1020,12%,Green,0,0,0
1021,12%,Green,0,8,0
1022,9%,Green,0,0,0
1023,10%,None,0,0,0
1024,10%,Green,1,3,0
1025,12%,Green,2,5,0
1026,11%,,0,0,0
1027,11%,Green,0,0,0
1028,11%,Green,0,0,0
1029,13%,Green,0,12,0
1030,0%,,0,0,0
1031,0%,Green,0,0,0
1032,11%,Green,0,1,0
1033,13%,Green,0,7,0
1034,11%,Green,0,3,0
1035,13%,Green,0,1,0
1036,10%,Blue-Green,2,0,0
1037,1%,,0,1,0
1038,0%,Green,0,1,0
1039,0%,Green,0,2,0
1040,12%,Green,0,1,0
1041,12%,Green,0,5,0
1042,11%,Green,0,2,0
1043,11%,Green,1,4,0
1044,9%,Green,0,2,0
1045,13%,Green,0,1,0
1046,11%,Green,0,0,0
1047,11%,Green,0,2,0
1048,12%,Green,0,0,0
1049,13%,Bluish-Green,0,6,0
1050,0%,Green,0,1,0
1051,13%,Blue-Green,0,1,0
1052,11%,Green,0,0,0
1053,11%,Blue-Green,0,4,0
1054,12%,Bluish-Green,0,1,0
1055,12%,Green,0,4,0
1056,0%,,0,1,0
1057,12%,Green,0,5,0
1058,11%,Green,0,2,0
1059,11%,Green,0,3,0
1060,18%,,0,2,0
1061,11%,Green,0,7,0
1062,11%,Green,0,0,1
1063,12%,Bluish-Green,0,1,0
1064,0%,Green,0,3,0
1065,11%,Green,0,5,0
1066,11%,Green,0,5,0
1067,0%,,0,0,0
1068,0%,,0,2,0
1069,0%,Blue-Green,0,0,0
1070,10%,Green,0,4,0
1071,11%,Green,0,5,0
1072,12%,Green,0,0,0
1073,11%,Green,0,3,0
1074,0%,Green,0,2,0
1075,11%,Green,0,3,0
1076,10%,None,0,10,0
1077,11%,Green,1,0,0
1078,12%,Green,1,1,0
1079,15%,None,0,1,0
1080,10%,Green,0,0,0
1081,14%,Green,0,0,0
1082,0%,Green,0,1,0
1083,17%,Green,0,14,0
1084,11%,Green,0,0,0
1085,10%,Green,2,4,0
1086,12%,Green,4,16,0
1087,12%,Green,0,0,0
1088,13%,Green,0,5,0
1089,12%,Bluish-Green,0,5,0
1090,11%,Green,0,0,0
1091,11%,Green,1,4,0
1092,11%,Green,0,21,0
1093,12%,Green,5,7,0
1094,10%,,0,1,0
1095,11%,Green,0,1,1
1096,10%,Green,0,4,0
1097,10%,Green,0,2,0
1098,11%,Green,1,26,0
1099,0%,Green,0,1,0
1100,11%,Green,0,2,0
1101,12%,Green,4,13,0
1102,10%,Green,0,0,0
1103,11%,Green,0,0,0
1104,11%,Green,1,12,0
1105,11%,None,2,8,0
1106,0%,,0,2,0
1107,11%,,0,2,0
1108,11%,Green,0,0,0
1109,11%,Green,0,2,0
1110,11%,Green,0,2,0
1111,14%,Green,1,2,0
1112,12%,Green,0,12,0
1113,11%,Green,0,5,0
1114,5%,,12,1,0
1115,11%,Green,0,5,0
1116,7%,Green,0,0,0
1117,10%,Green,0,4,0
1118,11%,Green,0,0,0
1119,11%,Green,0,0,0
1120,11%,Green,0,0,0
1121,15%,None,0,0,0
1122,14%,Green,1,17,0
1123,10%,Green,0,5,0
1124,0%,Green,0,4,0
1125,0%,Green,0,2,0
1126,11%,Green,0,0,0
1127,0%,Green,0,0,0
1128,12%,Green,0,9,0
1129,11%,Green,0,12,0
1130,5%,,0,2,0
1131,0%,Green,0,1,0
1132,11%,Green,1,3,0
1133,12%,Green,0,4,0
1134,12%,Green,1,7,0
1135,0%,,0,0,0
1136,11%,Green,0,3,0
1137,12%,Green,0,6,0
1138,11%,Green,0,0,0
1139,5%,,3,0,0
1140,11%,,0,5,1
1141,10%,Green,0,2,0
1142,11%,Green,0,0,0
1143,12%,Green,0,3,0
1144,12%,Blue-Green,7,10,0
1145,10%,Green,0,1,4
1146,0%,,0,0,0
1147,10%,Blue-Green,0,0,0
1148,12%,Green,0,0,0
1149,12%,Green,1,2,0
1150,10%,Bluish-Green,0,4,0
1151,12%,Green,0,4,0
1152,13%,Green,0,4,0
1153,12%,Green,0,5,0
1154,14%,None,0,0,0
1155,10%,Green,1,22,0
1156,0%,Green,0,4,0
1157,12%,,0,7,0
1158,10%,Green,0,1,2
1159,0%,Bluish-Green,0,12,0
1160,12%,Blue-Green,0,0,0
1161,11%,Green,0,6,0
1162,12%,Green,0,6,0
1163,13%,None,5,6,0
1164,0%,,0,9,0
1165,0%,,1,0,0
1166,12%,None,0,11,0
1167,13%,Green,0,5,0
1168,10%,,0,4,0
1169,17%,,1,19,0
1170,12%,Green,0,6,0
1171,0%,,0,1,0
1172,0%,Green,0,2,0
1173,12%,Green,1,20,0
1174,12%,Bluish-Green,0,5,0
1175,10%,Green,0,2,0
1176,10%,Green,1,4,0
1177,13%,Green,0,30,0
1178,13%,Bluish-Green,1,2,0
1179,0%,Green,0,3,0
1180,14%,None,0,23,0
1181,14%,Green,0,19,0
1182,11%,Green,0,6,0
1183,11%,Blue-Green,0,0,0
1184,13%,Green,0,10,0
1185,10%,Green,0,0,0
1186,11%,Green,0,5,0
1187,11%,Green,0,6,8
1188,11%,Green,0,6,0
1189,10%,None,5,20,0
1190,14%,None,0,8,0
1191,14%,Green,0,34,0
1192,1%,,0,8,0
1193,10%,Green,0,1,0
1194,13%,Green,0,0,0
1195,16%,None,0,2,0
1196,11%,Green,0,45,0
1197,10%,Bluish-Green,0,0,0
1198,10%,,0,3,0
1199,12%,Green,0,3,0
1200,11%,Green,0,12,0
1201,0%,,0,4,0
1202,12%,None,0,12,0
1203,14%,Green,3,17,0
1204,14%,Green,7,38,0
1205,12%,Green,0,8,0
1206,16%,None,0,0,0
1207,10%,Green,0,4,2
1208,12%,Green,5,8,0
1209,12%,Green,1,8,0
1210,14%,Green,0,0,0
1211,14%,None,0,0,0
1212,12%,,0,0,0
1213,0%,Green,0,5,0
1214,13%,None,0,2,0
1215,10%,Green,1,7,5
1216,11%,Green,1,1,0
1217,12%,Green,0,3,0
1218,10%,Green,0,0,0
1219,13%,Green,0,1,0
1220,10%,,0,1,0
1221,0%,,0,0,0
1222,0%,Green,0,0,0
1223,12%,None,0,14,0
1224,13%,Green,1,3,0
1225,12%,Green,3,4,0
1226,14%,None,0,0,0
1227,10%,Bluish-Green,0,0,0
1228,10%,Green,0,2,0
1229,11%,Green,1,4,0
1230,13%,Green,31,47,0
1231,11%,Green,0,9,0
1232,11%,Green,2,8,0
1233,11%,Green,4,31,0
1234,13%,,0,1,0
1235,11%,Green,0,3,0
1236,0%,Green,3,4,0
1237,11%,Green,2,6,0
1238,12%,Green,2,3,0
1239,10%,Green,1,2,0
1240,10%,Green,0,28,0
1241,11%,Green,3,9,0
1242,12%,Green,2,7,0
1243,10%,Green,1,3,0
1244,12%,Green,2,4,0
1245,11%,Green,0,3,0
1246,11%,Green,0,7,0
1247,10%,Bluish-Green,0,0,0
1248,11%,,0,2,0
1249,11%,Green,0,2,0
1250,11%,Bluish-Green,0,0,0
1251,12%,Green,1,5,0
1252,13%,Green,0,3,0
1253,11%,Green,2,15,0
1254,0%,Green,0,3,0
1255,10%,Green,1,2,0
1256,15%,None,4,5,0
1257,10%,,0,1,0
1258,12%,Green,1,5,0
1259,12%,Green,1,11,0
1260,0%,Green,7,9,0
1261,0%,Green,0,0,7
1262,0%,,0,0,0
1263,12%,None,0,4,0
1264,13%,Green,0,14,0
1265,11%,Green,0,8,0
1266,11%,,0,5,0
1267,0%,Green,0,0,0
1268,0%,Bluish-Green,0,3,0
1269,16%,None,2,4,0
1270,12%,None,4,26,0
1271,12%,Green,0,12,0
1272,11%,Green,0,7,0
1273,12%,Green,0,2,0
1274,11%,Green,0,6,1
1275,11%,Green,0,15,0
1276,12%,,0,10,0
1277,11%,Green,4,20,0
1278,11%,Green,0,20,0
1279,12%,,0,8,0
1280,13%,Bluish-Green,23,29,0
1281,14%,Green,15,7,0
1282,17%,None,0,6,0
1283,12%,Green,0,30,0
1284,11%,,0,8,0
1285,11%,,0,10,0
1286,12%,Green,0,7,0
1287,0%,Blue-Green,1,2,0
1288,11%,Green,1,1,0
1289,14%,Green,3,11,0
1290,13%,None,0,27,0
1291,12%,Green,0,19,0
1292,0%,,9,17,0
1293,11%,Green,0,0,1
1294,11%,Green,1,16,0
1295,0%,,1,1,0
1296,0%,Bluish-Green,0,15,0
1297,11%,Green,5,9,0
1298,8%,,1,0,0
1299,11%,Green,0,7,0
1300,12%,Green,4,24,0
1301,11%,Green,0,0,0
1302,12%,Green,0,1,0
1303,11%,Green,0,55,1
1304,10%,Green,0,4,0
1305,10%,Green,0,3,0
1306,10%,Green,0,4,0
1307,11%,None,0,20,0
1308,14%,Blue-Green,8,16,0
1309,13%,Green,1,5,0
1310,10%,Green,0,4,0
1312,12%,Green,0,2,0
